0	29
1	39
2	36
3	45
4	44
5	41
6	44
7	77
8	36
9	45
10	48
11	54
12	35
13	37
14	85
15	84
16	40
17	47
18	59
19	59
20	58
21	36
22	62
23	54
24	41
25	46
26	56
27	100
28	78
29	56
30	62
31	72
32	40
33	51
34	41
35	49
36	45
37	54
38	65
39	62
40	66
41	45
42	45
43	52
44	52
45	66
46	66
47	77
48	54
49	67
50	33
51	62
52	53
53	58
54	44
55	63
56	77
57	84
58	72
59	86
60	71
61	77
62	103
63	90
64	42
65	47
66	53
67	51
68	52
69	57
70	54
71	46
72	58
73	51
74	62
75	70
76	50
77	56
78	65
79	70
80	45
81	59
82	44
83	51
84	59
85	85
86	58
87	92
88	49
89	66
90	56
91	70
92	65
93	56
94	86
95	70
96	48
97	50
98	72
99	50
100	51
101	54
102	57
103	107
104	57
105	52
106	73
107	47
108	50
109	65
110	59
111	74
112	58
113	55
114	52
115	96
116	68
117	78
118	63
119	121
120	77
121	72
122	72
123	83
124	107
125	73
126	55
127	81
128	44
129	47
130	44
131	54
132	49
133	61
134	54
135	77
136	56
137	87
138	51
139	53
140	49
141	64
142	82
143	99
144	39
145	60
146	59
147	35
148	87
149	70
150	55
151	64
152	75
153	72
154	61
155	69
156	80
157	89
158	65
159	86
160	52
161	51
162	64
163	64
164	62
165	51
166	59
167	75
168	60
169	62
170	61
171	78
172	58
173	66
174	57
175	96
176	44
177	76
178	51
179	76
180	65
181	88
182	67
183	80
184	43
185	94
186	89
187	107
188	77
189	84
190	92
191	65
192	67
193	59
194	46
195	74
196	59
197	56
198	67
199	70
200	57
201	59
202	85
203	67
204	74
205	58
206	68
207	77
208	53
209	59
210	60
211	58
212	70
213	83
214	56
215	66
216	77
217	87
218	70
219	75
220	69
221	118
222	80
223	96
224	58
225	88
226	54
227	87
228	61
229	58
230	87
231	98
232	34
233	61
234	78
235	68
236	83
237	93
238	115
239	84
240	79
241	97
242	62
243	79
244	57
245	77
246	81
247	106
248	90
249	104
250	66
251	79
252	69
253	81
254	87
255	67
